S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close
1,12/29/2021,1013,200533,98526860.8,499,488,492
2,12/28/2021,659,91046,44737396.5,498,488,494
3,12/27/2021,816,88858,44186856.3,510,491,493
4,12/26/2021,1002,130801,65306688.9,502,495,500
5,12/23/2021,714,77234,38044401.2,497,481,496
6,12/22/2021,645,91095,43764424.2,488,468,486
7,12/21/2021,721,89845,41642193.3,472.2,458.7,468
8,12/20/2021,1703,203606,94499569.3,471.9,449.8,463
9,12/16/2021,221,42355,18542483.6,441,430.1,441
10,12/15/2021,363,34320,15153181.2,453,430,435
11,12/14/2021,138,12873,5592150.7,440,420.5,437
12,12/13/2021,352,50626,20941548.7,421.7,406.1,421
13,12/12/2021,322,32738,13990157.7,441,421,421
14,12/9/2021,254,40348,17524497.1,440,430,439
15,12/8/2021,215,27135,11947566.3,445,437,441
16,12/7/2021,253,28400,12809128,456.9,448,448
17,12/6/2021,438,68814,30173810.4,459,430,451
18,12/5/2021,462,68193,30683279.5,465,444,446
19,12/2/2021,264,37874,17836807.3,476.9,467,467
20,12/1/2021,192,28814,13602652.9,475,470,473
21,11/30/2021,280,35963,16973702.7,480,468,473
22,11/29/2021,229,25152,11999793.1,483,469,477.5
23,11/28/2021,505,64115,30866245.7,495,470,476
24,11/25/2021,224,40312,19985326.7,499.5,491,495
25,11/24/2021,243,36718,18225695.9,498.9,495.1,495.9
26,11/23/2021,266,36868,18451920.9,505,495,497.1
27,11/22/2021,178,20171,10185826,509,503,504.2
28,11/21/2021,250,39307,19863586.7,510,502.5,504
29,11/18/2021,197,19692,9997711.7,511,503.1,508.2
30,11/17/2021,262,47611,24434353.5,518,508.2,512.9
31,11/16/2021,336,48725,24716496.2,513,500,508
32,11/15/2021,247,27116,13771404.2,514.9,506,506.5
33,11/14/2021,289,36575,18517638.8,510,497,508.9
34,11/11/2021,382,68078,34578001.7,520,500,507
35,11/9/2021,346,53120,27522253.7,530,512,515
36,11/8/2021,301,27478,14646766,544,528,528
37,11/3/2021,611,103451,56207790.5,549,533,542.9
38,11/2/2021,315,30675,15991201.5,529.9,515,528.5
39,11/1/2021,520,66975,35085959.1,535,520,521
40,10/31/2021,590,75090,39966443.4,544,524,532
