published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-02-22,765.00,765.00,745.00,748.00,-1.44,5118.00,3830261.60,-1,1
2024-02-21,758.00,760.00,752.00,758.90,-0.54,3616.00,2731001.20,-1,2
2024-02-20,773.00,773.00,758.10,763.00,-0.65,3008.00,2292486.40,-1,3
2024-02-18,775.00,775.00,766.10,768.00,-1.54,4369.00,3360152.50,-1,4
2024-02-15,792.00,819.00,779.00,780.00,-1.02,11632.00,9158485.90,-1,5
2024-02-14,771.10,788.00,771.00,788.00,1.94,9117.00,7090728.90,1,6
2024-02-13,766.00,777.20,766.00,773.00,-0.77,5111.00,3954787.80,-1,7
2024-02-12,777.00,785.00,776.00,779.00,-0.76,7581.00,5915301.90,-1,8
2024-02-11,770.00,790.00,770.00,785.00,0.64,7606.00,5966383.10,1,9
2024-02-08,770.00,780.50,770.00,780.00,-0.14,5996.00,4668916.20,-1,10
2024-02-07,780.10,787.90,779.00,781.10,0.53,9550.00,7481899.80,1,11
2024-02-06,775.00,783.00,770.00,777.00,0.78,6213.00,4841795.30,1,12
2024-02-05,765.00,780.00,765.00,771.00,2.12,9184.00,7100852.80,1,13
2024-02-04,755.10,775.00,753.20,755.00,-1.69,9314.00,7088812.20,-1,14
2024-02-01,766.00,775.00,761.10,768.00,-1.03,4516.00,3455141.80,-1,15
2024-01-31,775.00,802.00,775.00,776.00,-1.64,5135.00,4007856.70,-1,16
2024-01-30,790.00,800.00,781.10,788.90,-0.40,7774.00,6135526.30,-1,17
2024-01-29,800.00,801.70,786.00,792.10,0.78,5512.00,4381361.50,1,18
2024-01-28,781.00,795.00,780.00,786.00,0.13,4145.00,3253630.40,1,19
2024-01-25,782.20,797.70,782.20,785.00,-0.38,2549.00,2013168.70,-1,20
2024-01-24,796.10,813.90,786.00,788.00,0.25,3106.00,2482196.50,1,21
2024-01-23,794.00,804.00,785.00,786.00,-0.98,4499.00,3558487.00,-1,22
2024-01-22,803.00,820.00,793.80,793.80,-2.60,12815.00,10331567.70,-1,23
2024-01-21,820.00,828.00,811.30,815.00,-1.12,18352.00,15015136.80,-1,24
2024-01-18,825.00,835.00,815.00,824.20,-1.29,17965.00,14816431.50,-1,25
2024-01-17,838.00,894.00,820.00,835.00,0.72,44463.00,37647336.70,1,26
2024-01-16,839.80,842.00,821.40,829.00,0.24,22539.00,18737919.10,1,27
2024-01-14,814.00,831.00,814.00,827.00,3.40,30934.00,25432967.30,1,28
2024-01-11,779.90,801.00,779.90,799.80,2.55,29233.00,23276845.10,1,29
2024-01-10,774.00,783.20,765.00,779.90,2.77,18523.00,14416299.00,1,30
2024-01-09,759.80,764.00,751.00,758.90,1.87,5724.00,4342569.00,1,31
2024-01-08,740.00,747.60,740.00,745.00,1.36,4914.00,3650500.80,1,32
2024-01-07,745.10,755.00,735.00,735.00,-1.36,6322.00,4702732.70,-1,33
2024-01-04,743.00,760.00,743.00,745.10,0.28,4523.00,3397834.00,1,34
2024-01-03,748.00,754.50,741.20,743.00,-0.28,4424.00,3291815.60,-1,35
2024-01-02,784.60,784.60,745.00,745.10,-3.22,8872.00,6672834.90,-1,36
2024-01-01,757.00,775.00,751.00,769.90,1.81,6314.00,4815191.50,1,37
2023-12-28,755.00,768.00,755.00,756.20,-0.11,4379.00,3327892.90,-1,38
2023-12-27,785.00,785.00,755.00,757.00,-1.69,11482.00,8781371.10,-1,39
2023-12-24,770.00,790.00,770.00,770.00,-1.96,10556.00,8207081.10,-1,40
2023-12-21,814.00,815.80,785.00,785.40,-3.73,9831.00,7818880.70,-1,41
2023-12-20,835.00,835.00,800.00,815.80,-0.75,6878.00,5569971.50,-1,42
2023-12-19,822.00,822.00,789.90,822.00,0.00,14653.00,11758809.30,0,43
2023-12-18,746.30,822.00,746.30,822.00,8.16,21357.00,16769196.50,1,44
2023-12-17,741.00,780.30,731.00,760.00,1.47,9957.00,7513122.80,1,45
2023-12-14,770.50,770.50,738.30,749.00,-2.73,7031.00,5227862.50,-1,46
2023-12-13,730.00,770.00,716.10,770.00,5.77,11903.00,8763449.80,1,47
2023-12-12,712.00,730.00,712.00,728.00,2.10,8086.00,5829700.80,1,48
2023-12-11,734.40,735.00,705.60,713.00,-0.97,7271.00,5200141.40,-1,49
2023-12-10,690.00,722.10,690.00,720.00,4.96,716.00,507528.00,1,50
2023-12-07,686.00,686.00,679.00,686.00,0.29,4454.00,3037179.50,1,51
2023-12-06,685.60,685.60,665.00,684.00,0.15,2510.00,1691643.20,1,52
2023-12-05,670.40,684.00,662.10,683.00,-0.15,5843.00,3950573.10,-1,53
2023-12-04,664.00,685.00,651.30,684.00,1.15,5130.00,3458391.90,1,54
2023-12-03,664.00,676.20,650.00,676.20,3.87,9855.00,6540766.60,1,55
2023-11-30,656.10,665.00,651.00,651.00,-1.96,3818.00,2500027.00,-1,56
2023-11-29,670.00,670.00,661.00,664.00,-0.90,3337.00,2216218.50,-1,57
2023-11-28,679.00,679.00,663.20,670.00,0.15,2474.00,1650547.70,1,58
2023-11-27,695.00,695.00,667.00,669.00,-1.95,4671.00,3139895.40,-1,59
2023-11-26,660.00,683.30,660.00,682.30,3.38,3718.00,2488069.50,1,60
2023-11-23,662.00,669.90,658.00,660.00,-1.49,2373.00,1570746.20,-1,61
2023-11-22,655.00,673.60,651.00,670.00,1.36,2385.00,1579930.80,1,62
2023-11-21,670.00,670.00,656.60,661.00,-2.88,5763.00,3809874.30,-1,63
2023-11-20,705.00,705.00,680.00,680.60,-3.32,8010.00,5491960.10,-1,64
2023-11-09,710.00,710.00,682.00,704.00,-1.92,3812.00,2660393.50,-1,65
2023-11-08,708.10,720.90,703.00,717.80,1.38,1582.00,1117286.00,1,66
2023-11-07,718.00,718.00,704.00,708.00,0.57,1475.00,1046652.10,1,67
2023-11-06,705.00,713.80,704.00,704.00,0.00,927.00,654154.90,0,68
2023-11-05,703.00,709.10,700.00,704.00,-0.72,1527.00,1071799.60,-1,69
2023-11-02,713.00,719.00,707.00,709.10,-1.72,2249.00,1595241.50,-1,70
2023-11-01,715.00,725.00,707.70,721.50,0.21,1539.00,1101225.30,1,71
2023-10-31,706.10,724.00,706.10,720.00,0.18,1820.00,1293202.70,1,72
2023-10-30,708.00,724.00,701.00,718.70,0.73,1624.00,1164056.10,1,73
2023-10-29,719.00,719.00,710.10,713.50,-2.26,1309.00,934543.70,-1,74
2023-10-19,735.00,742.00,723.40,730.00,-0.27,1368.00,997449.80,-1,75
2023-10-18,724.00,732.90,720.00,732.00,3.10,3155.00,2292861.10,1,76
2023-10-17,730.40,730.40,710.00,710.00,-0.85,2766.00,1988316.30,-1,77
